"station","variable","date","value"
"BR","flow_cms",2000-02-27,0.792871716
"WM","flow_cms",2000-02-27,1.08168037653479
"BR","flow_cms",2000-02-28,0.594653787
"WM","flow_cms",2000-02-28,0.811260282401091
"BR","flow_cms",2000-02-29,0.453069552
"WM","flow_cms",2000-02-29,0.618103072305593
"BR","flow_cms",2000-03-01,0.396435858
"WM","flow_cms",2000-03-01,0.540840188267394
"BR","flow_cms",2000-03-02,0.311485317
"WM","flow_cms",2000-03-02,0.424945862210096
"BR","flow_cms",2000-03-03,0.2576833077
"WM","flow_cms",2000-03-03,0.351546122373806
"BR","flow_cms",2000-03-04,0.2378615148
"WM","flow_cms",2000-03-04,0.324504112960437
"BR","flow_cms",2000-03-05,0.2123763525
"WM","flow_cms",2000-03-05,0.289735815143247
"BR","flow_cms",2000-03-06,0.1812278208
"WM","flow_cms",2000-03-06,0.247241228922237
"BR","flow_cms",2000-03-07,0.169901082
"WM","flow_cms",2000-03-07,0.231788652114598
"BR","flow_cms",2000-03-08,0.169901082
"WM","flow_cms",2000-03-08,0.231788652114598
"BR","flow_cms",2000-03-09,0.1840595055
"WM","flow_cms",2000-03-09,0.251104373124147
"BR","flow_cms",2000-03-10,0.1585743432
"WM","flow_cms",2000-03-10,0.216336075306958
"BR","flow_cms",2000-03-11,0.1472476044
"WM","flow_cms",2000-03-11,0.200883498499318
"BR","flow_cms",2000-03-12,0.2180397219
"WM","flow_cms",2000-03-12,0.297462103547067
"BR","flow_cms",2000-03-13,0.2633466771
"WM","flow_cms",2000-03-13,0.359272410777626
"BR","flow_cms",2000-03-14,0.934455951
"WM","flow_cms",2000-03-14,1.27483758663029
"BR","flow_cms",2000-03-15,0.877822257
"WM","flow_cms",2000-03-15,1.19757470259209
"BR","flow_cms",2000-03-16,0.707921175
"WM","flow_cms",2000-03-16,0.96578605047749
"BR","flow_cms",2000-03-17,1.076040186
"WM","flow_cms",2000-03-17,1.46799479672578
"BR","flow_cms",2000-03-18,0.679604328
"WM","flow_cms",2000-03-18,0.92715460845839
"BR","flow_cms",2000-03-19,0.538020093
"WM","flow_cms",2000-03-19,0.733997398362892
"BR","flow_cms",2000-03-20,1.614060279
"WM","flow_cms",2000-03-20,2.20199219508868
"BR","flow_cms",2000-03-21,1.557426585
"WM","flow_cms",2000-03-21,2.12472931105048
"BR","flow_cms",2000-03-22,0.764554869
"WM","flow_cms",2000-03-22,1.04304893451569
"BR","flow_cms",2000-03-23,0.56633694
"WM","flow_cms",2000-03-23,0.772628840381992
"BR","flow_cms",2000-03-24,0.453069552
"WM","flow_cms",2000-03-24,0.618103072305593
"BR","flow_cms",2000-03-25,0.368119011
"WM","flow_cms",2000-03-25,0.502208746248295
"BR","flow_cms",2000-03-26,0.28316847
"WM","flow_cms",2000-03-26,0.386314420190996
"BR","flow_cms",2000-03-27,0.368119011
"WM","flow_cms",2000-03-27,0.502208746248295
"BR","flow_cms",2000-03-28,0.396435858
"WM","flow_cms",2000-03-28,0.540840188267394
"BR","flow_cms",2000-03-29,0.28316847
"WM","flow_cms",2000-03-29,0.386314420190996
"BR","flow_cms",2000-03-30,0.2321981454
"WM","flow_cms",2000-03-30,0.316777824556617
"BR","flow_cms",2000-03-31,0.1925545596
"WM","flow_cms",2000-03-31,0.262693805729877
"BR","flow_cms",2000-04-01,0.1727327667
"WM","flow_cms",2000-04-01,0.235651796316508
"BR","flow_cms",2000-04-02,0.28316847
"WM","flow_cms",2000-04-02,0.386314420190996
"BR","flow_cms",2000-04-03,1.41584235
"WM","flow_cms",2000-04-03,1.93157210095498
"BR","flow_cms",2000-04-04,2.26534776
"WM","flow_cms",2000-04-04,3.09051536152797
"BR","flow_cms",2000-04-05,0.707921175
"WM","flow_cms",2000-04-05,0.96578605047749
"BR","flow_cms",2000-04-06,0.453069552
"WM","flow_cms",2000-04-06,0.618103072305593
"BR","flow_cms",2000-04-07,0.821188563
"WM","flow_cms",2000-04-07,1.12031181855389
"BR","flow_cms",2000-04-08,14.498225664
"WM","flow_cms",2000-04-08,19.779298313779
"BR","flow_cms",2000-04-09,2.435248842
"WM","flow_cms",2000-04-09,3.32230401364256
"BR","flow_cms",2000-04-10,1.076040186
"WM","flow_cms",2000-04-10,1.46799479672578
"BR","flow_cms",2000-04-11,0.736238022
"WM","flow_cms",2000-04-11,1.00441749249659
"BR","flow_cms",2000-04-12,0.594653787
"WM","flow_cms",2000-04-12,0.811260282401091
"BR","flow_cms",2000-04-13,0.481386399
"WM","flow_cms",2000-04-13,0.656734514324693
"BR","flow_cms",2000-04-14,0.424752705
"WM","flow_cms",2000-04-14,0.579471630286494
"BR","flow_cms",2000-04-15,0.368119011
"WM","flow_cms",2000-04-15,0.502208746248295
"BR","flow_cms",2000-04-16,0.311485317
"WM","flow_cms",2000-04-16,0.424945862210096
"BR","flow_cms",2000-04-17,0.2661783618
"WM","flow_cms",2000-04-17,0.363135554979536
"BR","flow_cms",2000-04-18,0.2633466771
"WM","flow_cms",2000-04-18,0.359272410777626
"BR","flow_cms",2000-04-19,0.2350298301
"WM","flow_cms",2000-04-19,0.320640968758527
"BR","flow_cms",2000-04-20,0.453069552
"WM","flow_cms",2000-04-20,0.618103072305593
